Vardas              Pavarde             Galutinis (med.)  
Vardenis621         Pavardenis621       4.50              
Vardenis622         Pavardenis622       2.50              
Vardenis625         Pavardenis625       4.00              
Vardenis628         Pavardenis628       4.50              
Vardenis632         Pavardenis632       4.00              
Vardenis634         Pavardenis634       4.00              
Vardenis639         Pavardenis639       3.00              
Vardenis641         Pavardenis641       4.00              
Vardenis645         Pavardenis645       4.00              
Vardenis650         Pavardenis650       3.00              
Vardenis651         Pavardenis651       3.50              
Vardenis660         Pavardenis660       2.50              
Vardenis662         Pavardenis662       4.00              
Vardenis663         Pavardenis663       4.00              
Vardenis665         Pavardenis665       3.50              
Vardenis672         Pavardenis672       4.50              
Vardenis675         Pavardenis675       4.50              
Vardenis677         Pavardenis677       3.00              
Vardenis684         Pavardenis684       4.00              
Vardenis685         Pavardenis685       4.00              
Vardenis689         Pavardenis689       4.50              
Vardenis692         Pavardenis692       4.50              
Vardenis696         Pavardenis696       4.50              
Vardenis702         Pavardenis702       4.50              
Vardenis706         Pavardenis706       4.00              
Vardenis710         Pavardenis710       3.00              
Vardenis711         Pavardenis711       4.50              
Vardenis713         Pavardenis713       4.00              
Vardenis723         Pavardenis723       4.50              
Vardenis725         Pavardenis725       3.00              
Vardenis727         Pavardenis727       4.00              
Vardenis730         Pavardenis730       4.00              
Vardenis734         Pavardenis734       3.50              
Vardenis736         Pavardenis736       4.00              
Vardenis739         Pavardenis739       4.00              
Vardenis740         Pavardenis740       4.00              
Vardenis742         Pavardenis742       4.50              
Vardenis744         Pavardenis744       4.00              
Vardenis749         Pavardenis749       4.50              
Vardenis754         Pavardenis754       4.00              
Vardenis757         Pavardenis757       4.00              
Vardenis759         Pavardenis759       3.50              
Vardenis761         Pavardenis761       4.50              
Vardenis764         Pavardenis764       4.50              
Vardenis765         Pavardenis765       4.50              
Vardenis767         Pavardenis767       4.00              
Vardenis774         Pavardenis774       3.50              
Vardenis775         Pavardenis775       3.00              
Vardenis777         Pavardenis777       3.50              
Vardenis779         Pavardenis779       4.00              
Vardenis780         Pavardenis780       4.00              
Vardenis787         Pavardenis787       4.50              
Vardenis792         Pavardenis792       3.00              
Vardenis793         Pavardenis793       4.50              
Vardenis794         Pavardenis794       4.00              
Vardenis795         Pavardenis795       3.00              
Vardenis797         Pavardenis797       4.00              
Vardenis798         Pavardenis798       4.50              
Vardenis799         Pavardenis799       4.00              
Vardenis800         Pavardenis800       4.50              
Vardenis804         Pavardenis804       2.50              
Vardenis805         Pavardenis805       4.00              
Vardenis810         Pavardenis810       4.50              
Vardenis812         Pavardenis812       4.50              
Vardenis822         Pavardenis822       3.50              
Vardenis824         Pavardenis824       4.00              
Vardenis828         Pavardenis828       4.00              
Vardenis829         Pavardenis829       4.00              
Vardenis830         Pavardenis830       4.50              
Vardenis836         Pavardenis836       4.00              
Vardenis838         Pavardenis838       3.50              
Vardenis844         Pavardenis844       4.00              
Vardenis851         Pavardenis851       4.50              
Vardenis853         Pavardenis853       4.00              
Vardenis857         Pavardenis857       4.50              
Vardenis859         Pavardenis859       4.00              
Vardenis863         Pavardenis863       4.00              
Vardenis865         Pavardenis865       4.00              
Vardenis872         Pavardenis872       4.50              
Vardenis874         Pavardenis874       4.50              
Vardenis876         Pavardenis876       4.00              
Vardenis877         Pavardenis877       4.00              
Vardenis881         Pavardenis881       3.50              
Vardenis882         Pavardenis882       4.50              
Vardenis884         Pavardenis884       4.00              
Vardenis887         Pavardenis887       4.50              
Vardenis888         Pavardenis888       4.50              
Vardenis889         Pavardenis889       3.00              
Vardenis890         Pavardenis890       4.50              
Vardenis892         Pavardenis892       3.00              
Vardenis896         Pavardenis896       2.00              
Vardenis898         Pavardenis898       4.50              
Vardenis903         Pavardenis903       3.50              
Vardenis904         Pavardenis904       3.00              
Vardenis907         Pavardenis907       4.00              
Vardenis910         Pavardenis910       4.00              
Vardenis911         Pavardenis911       4.00              
Vardenis912         Pavardenis912       4.50              
Vardenis913         Pavardenis913       4.50              
Vardenis918         Pavardenis918       4.50              
Vardenis919         Pavardenis919       4.00              
Vardenis931         Pavardenis931       3.00              
Vardenis935         Pavardenis935       4.50              
Vardenis938         Pavardenis938       4.00              
Vardenis945         Pavardenis945       4.00              
Vardenis948         Pavardenis948       4.00              
Vardenis954         Pavardenis954       3.00              
Vardenis955         Pavardenis955       3.00              
Vardenis957         Pavardenis957       4.50              
Vardenis959         Pavardenis959       4.50              
Vardenis966         Pavardenis966       3.00              
Vardenis969         Pavardenis969       4.50              
Vardenis971         Pavardenis971       4.50              
Vardenis976         Pavardenis976       4.50              
Vardenis977         Pavardenis977       3.00              
Vardenis985         Pavardenis985       4.00              
Vardenis986         Pavardenis986       3.50              
Vardenis988         Pavardenis988       2.50              
Vardenis990         Pavardenis990       3.50              
Vardenis992         Pavardenis992       4.50              
Vardenis995         Pavardenis995       3.50              
Vardenis998         Pavardenis998       4.50              
Vardenis1005        Pavardenis1005      4.00              
Vardenis1015        Pavardenis1015      4.00              
Vardenis1016        Pavardenis1016      4.50              
Vardenis1021        Pavardenis1021      4.00              
Vardenis1024        Pavardenis1024      4.50              
Vardenis1025        Pavardenis1025      3.50              
Vardenis1029        Pavardenis1029      4.50              
Vardenis1036        Pavardenis1036      3.50              
Vardenis1042        Pavardenis1042      4.50              
Vardenis1045        Pavardenis1045      4.50              
Vardenis1050        Pavardenis1050      3.00              
Vardenis1051        Pavardenis1051      3.50              
Vardenis1053        Pavardenis1053      3.00              
Vardenis1055        Pavardenis1055      3.00              
Vardenis1057        Pavardenis1057      4.50              
Vardenis1060        Pavardenis1060      4.00              
Vardenis1061        Pavardenis1061      4.00              
Vardenis1063        Pavardenis1063      3.50              
Vardenis1067        Pavardenis1067      4.50              
Vardenis1073        Pavardenis1073      4.50              
Vardenis1075        Pavardenis1075      3.00              
Vardenis1077        Pavardenis1077      3.50              
Vardenis1083        Pavardenis1083      4.50              
Vardenis1088        Pavardenis1088      3.00              
Vardenis1089        Pavardenis1089      3.50              
Vardenis1090        Pavardenis1090      3.00              
Vardenis1091        Pavardenis1091      3.50              
Vardenis1092        Pavardenis1092      3.50              
Vardenis1094        Pavardenis1094      4.50              
Vardenis1095        Pavardenis1095      4.50              
Vardenis1096        Pavardenis1096      4.00              
Vardenis1097        Pavardenis1097      4.50              
Vardenis1104        Pavardenis1104      4.00              
Vardenis1107        Pavardenis1107      4.00              
Vardenis1110        Pavardenis1110      3.50              
Vardenis1113        Pavardenis1113      3.00              
Vardenis1120        Pavardenis1120      4.50              
Vardenis1121        Pavardenis1121      3.50              
Vardenis1122        Pavardenis1122      4.00              
Vardenis1123        Pavardenis1123      3.50              
Vardenis1129        Pavardenis1129      3.50              
Vardenis1137        Pavardenis1137      4.00              
Vardenis1142        Pavardenis1142      4.50              
Vardenis1143        Pavardenis1143      3.00              
Vardenis1147        Pavardenis1147      4.00              
Vardenis1148        Pavardenis1148      4.00              
Vardenis1154        Pavardenis1154      3.00              
Vardenis1156        Pavardenis1156      4.50              
Vardenis1159        Pavardenis1159      2.50              
Vardenis1160        Pavardenis1160      3.50              
Vardenis1161        Pavardenis1161      4.50              
Vardenis1162        Pavardenis1162      4.00              
Vardenis1167        Pavardenis1167      4.50              
Vardenis1168        Pavardenis1168      3.50              
Vardenis1172        Pavardenis1172      3.50              
Vardenis1179        Pavardenis1179      4.00              
Vardenis1181        Pavardenis1181      2.50              
Vardenis1187        Pavardenis1187      4.00              
Vardenis1201        Pavardenis1201      3.50              
Vardenis1212        Pavardenis1212      4.50              
Vardenis1213        Pavardenis1213      4.00              
Vardenis1215        Pavardenis1215      4.00              
Vardenis1225        Pavardenis1225      3.50              
Vardenis1229        Pavardenis1229      4.00              
Vardenis1231        Pavardenis1231      4.50              
Vardenis1232        Pavardenis1232      4.00              
Vardenis1235        Pavardenis1235      4.50              
Vardenis1239        Pavardenis1239      3.50              
Vardenis1243        Pavardenis1243      4.00              
Vardenis1246        Pavardenis1246      4.50              
Vardenis1247        Pavardenis1247      3.00              
Vardenis1249        Pavardenis1249      3.50              
Vardenis1250        Pavardenis1250      4.50              
Vardenis1253        Pavardenis1253      3.50              
Vardenis1257        Pavardenis1257      3.50              
Vardenis1264        Pavardenis1264      4.00              
Vardenis1267        Pavardenis1267      2.50              
Vardenis1268        Pavardenis1268      4.00              
Vardenis1269        Pavardenis1269      3.50              
Vardenis1273        Pavardenis1273      4.50              
Vardenis1276        Pavardenis1276      3.50              
Vardenis1281        Pavardenis1281      3.00              
Vardenis1282        Pavardenis1282      4.50              
Vardenis1286        Pavardenis1286      3.50              
Vardenis1293        Pavardenis1293      3.00              
Vardenis1300        Pavardenis1300      4.50              
Vardenis1303        Pavardenis1303      3.50              
Vardenis1304        Pavardenis1304      4.50              
Vardenis1305        Pavardenis1305      2.50              
Vardenis1306        Pavardenis1306      2.00              
Vardenis1309        Pavardenis1309      3.00              
Vardenis1310        Pavardenis1310      4.50              
Vardenis1312        Pavardenis1312      2.50              
Vardenis1314        Pavardenis1314      4.00              
Vardenis1320        Pavardenis1320      4.50              
Vardenis1321        Pavardenis1321      4.00              
Vardenis1322        Pavardenis1322      4.50              
Vardenis1323        Pavardenis1323      4.00              
Vardenis1325        Pavardenis1325      4.50              
Vardenis1327        Pavardenis1327      3.50              
Vardenis1330        Pavardenis1330      4.50              
Vardenis1331        Pavardenis1331      4.50              
Vardenis1334        Pavardenis1334      4.50              
Vardenis1335        Pavardenis1335      2.50              
Vardenis1340        Pavardenis1340      4.50              
Vardenis1343        Pavardenis1343      4.00              
Vardenis1345        Pavardenis1345      3.50              
Vardenis1351        Pavardenis1351      4.00              
Vardenis1352        Pavardenis1352      4.00              
Vardenis1360        Pavardenis1360      4.00              
Vardenis1367        Pavardenis1367      3.00              
Vardenis1368        Pavardenis1368      3.00              
Vardenis1371        Pavardenis1371      3.50              
Vardenis1379        Pavardenis1379      3.50              
Vardenis1385        Pavardenis1385      3.50              
Vardenis1388        Pavardenis1388      3.00              
Vardenis1394        Pavardenis1394      3.50              
Vardenis1398        Pavardenis1398      4.00              
Vardenis1401        Pavardenis1401      4.00              
Vardenis1402        Pavardenis1402      4.50              
Vardenis1404        Pavardenis1404      4.50              
Vardenis1409        Pavardenis1409      4.50              
Vardenis1418        Pavardenis1418      3.00              
Vardenis1420        Pavardenis1420      4.00              
Vardenis1422        Pavardenis1422      3.50              
Vardenis1429        Pavardenis1429      4.50              
Vardenis1430        Pavardenis1430      4.50              
Vardenis1433        Pavardenis1433      4.00              
Vardenis1439        Pavardenis1439      4.00              
Vardenis1441        Pavardenis1441      4.50              
Vardenis1447        Pavardenis1447      4.00              
Vardenis1449        Pavardenis1449      3.00              
Vardenis1450        Pavardenis1450      4.00              
Vardenis1453        Pavardenis1453      3.50              
Vardenis1456        Pavardenis1456      3.50              
Vardenis1458        Pavardenis1458      4.50              
Vardenis1462        Pavardenis1462      3.50              
Vardenis1466        Pavardenis1466      4.50              
Vardenis1469        Pavardenis1469      4.50              
Vardenis1470        Pavardenis1470      3.50              
Vardenis1477        Pavardenis1477      3.50              
Vardenis1478        Pavardenis1478      3.00              
Vardenis1481        Pavardenis1481      4.50              
Vardenis1483        Pavardenis1483      3.00              
Vardenis1486        Pavardenis1486      4.50              
Vardenis1492        Pavardenis1492      3.00              
Vardenis1496        Pavardenis1496      3.00              
Vardenis1499        Pavardenis1499      4.00              
Vardenis1501        Pavardenis1501      3.00              
Vardenis1502        Pavardenis1502      4.00              
Vardenis1507        Pavardenis1507      2.00              
Vardenis1510        Pavardenis1510      4.00              
Vardenis1511        Pavardenis1511      4.50              
Vardenis1512        Pavardenis1512      3.00              
Vardenis1522        Pavardenis1522      3.00              
Vardenis1523        Pavardenis1523      4.50              
Vardenis1525        Pavardenis1525      4.50              
Vardenis1527        Pavardenis1527      3.50              
Vardenis1528        Pavardenis1528      4.50              
Vardenis1529        Pavardenis1529      4.00              
Vardenis1533        Pavardenis1533      4.00              
Vardenis1534        Pavardenis1534      4.00              
Vardenis1538        Pavardenis1538      4.00              
Vardenis1541        Pavardenis1541      4.50              
Vardenis1542        Pavardenis1542      4.50              
Vardenis1549        Pavardenis1549      3.00              
Vardenis1550        Pavardenis1550      4.00              
Vardenis1557        Pavardenis1557      4.50              
Vardenis1567        Pavardenis1567      4.00              
Vardenis1569        Pavardenis1569      4.00              
Vardenis1570        Pavardenis1570      4.00              
Vardenis1573        Pavardenis1573      4.00              
Vardenis1575        Pavardenis1575      4.00              
Vardenis1585        Pavardenis1585      4.50              
Vardenis1588        Pavardenis1588      4.00              
Vardenis1590        Pavardenis1590      4.00              
Vardenis1600        Pavardenis1600      4.00              
Vardenis1608        Pavardenis1608      4.50              
Vardenis1611        Pavardenis1611      4.50              
Vardenis1612        Pavardenis1612      4.00              
Vardenis1618        Pavardenis1618      3.50              
Vardenis1619        Pavardenis1619      3.00              
Vardenis1620        Pavardenis1620      3.50              
Vardenis1623        Pavardenis1623      3.50              
Vardenis1624        Pavardenis1624      3.00              
Vardenis1627        Pavardenis1627      4.50              
Vardenis1629        Pavardenis1629      3.50              
Vardenis1635        Pavardenis1635      4.50              
Vardenis1643        Pavardenis1643      4.50              
Vardenis1647        Pavardenis1647      4.50              
Vardenis1650        Pavardenis1650      3.50              
Vardenis1653        Pavardenis1653      2.50              
Vardenis1665        Pavardenis1665      4.50              
Vardenis1669        Pavardenis1669      4.00              
Vardenis1670        Pavardenis1670      4.50              
Vardenis1673        Pavardenis1673      3.00              
Vardenis1680        Pavardenis1680      3.50              
Vardenis1681        Pavardenis1681      4.00              
Vardenis1682        Pavardenis1682      4.50              
Vardenis1683        Pavardenis1683      4.50              
Vardenis1686        Pavardenis1686      4.50              
Vardenis1690        Pavardenis1690      4.00              
Vardenis1691        Pavardenis1691      3.50              
Vardenis1693        Pavardenis1693      4.50              
Vardenis1695        Pavardenis1695      4.00              
Vardenis1698        Pavardenis1698      4.00              
Vardenis1702        Pavardenis1702      4.50              
Vardenis1703        Pavardenis1703      4.50              
Vardenis1704        Pavardenis1704      4.50              
Vardenis1707        Pavardenis1707      4.00              
Vardenis1719        Pavardenis1719      4.00              
Vardenis1724        Pavardenis1724      4.50              
Vardenis1725        Pavardenis1725      4.00              
Vardenis1729        Pavardenis1729      3.00              
Vardenis1730        Pavardenis1730      4.00              
Vardenis1732        Pavardenis1732      4.50              
Vardenis1734        Pavardenis1734      3.00              
Vardenis1735        Pavardenis1735      4.00              
Vardenis1736        Pavardenis1736      4.00              
Vardenis1745        Pavardenis1745      2.50              
Vardenis1751        Pavardenis1751      4.50              
Vardenis1755        Pavardenis1755      4.00              
Vardenis1758        Pavardenis1758      3.00              
Vardenis1759        Pavardenis1759      4.50              
Vardenis1761        Pavardenis1761      3.00              
Vardenis1762        Pavardenis1762      3.50              
Vardenis1763        Pavardenis1763      4.50              
Vardenis1765        Pavardenis1765      3.50              
Vardenis1772        Pavardenis1772      3.00              
Vardenis1774        Pavardenis1774      4.50              
Vardenis1781        Pavardenis1781      3.00              
Vardenis1784        Pavardenis1784      3.50              
Vardenis1785        Pavardenis1785      4.00              
Vardenis1790        Pavardenis1790      4.00              
Vardenis1791        Pavardenis1791      4.00              
Vardenis1796        Pavardenis1796      4.50              
Vardenis1797        Pavardenis1797      2.00              
Vardenis1799        Pavardenis1799      3.00              
Vardenis1804        Pavardenis1804      3.50              
Vardenis1807        Pavardenis1807      3.50              
Vardenis1810        Pavardenis1810      4.00              
Vardenis1818        Pavardenis1818      4.50              
Vardenis1824        Pavardenis1824      3.00              
Vardenis1829        Pavardenis1829      4.00              
Vardenis1834        Pavardenis1834      3.50              
Vardenis1835        Pavardenis1835      4.00              
Vardenis1836        Pavardenis1836      4.50              
Vardenis1838        Pavardenis1838      4.50              
Vardenis1839        Pavardenis1839      3.50              
Vardenis1842        Pavardenis1842      4.00              
Vardenis1846        Pavardenis1846      4.00              
Vardenis1847        Pavardenis1847      4.50              
Vardenis1849        Pavardenis1849      3.50              
Vardenis1850        Pavardenis1850      4.50              
Vardenis1853        Pavardenis1853      4.50              
Vardenis1857        Pavardenis1857      3.00              
Vardenis1861        Pavardenis1861      4.50              
Vardenis1862        Pavardenis1862      3.50              
Vardenis1864        Pavardenis1864      4.00              
Vardenis1867        Pavardenis1867      4.00              
Vardenis1871        Pavardenis1871      3.00              
Vardenis1877        Pavardenis1877      4.00              
Vardenis1880        Pavardenis1880      3.50              
Vardenis1882        Pavardenis1882      3.50              
Vardenis1884        Pavardenis1884      2.50              
Vardenis1885        Pavardenis1885      4.00              
Vardenis1889        Pavardenis1889      3.50              
Vardenis1891        Pavardenis1891      4.00              
Vardenis1893        Pavardenis1893      3.50              
Vardenis1894        Pavardenis1894      4.50              
Vardenis1896        Pavardenis1896      4.00              
Vardenis1897        Pavardenis1897      4.50              
Vardenis1898        Pavardenis1898      4.00              
Vardenis1901        Pavardenis1901      4.00              
Vardenis1905        Pavardenis1905      4.50              
Vardenis1914        Pavardenis1914      4.00              
Vardenis1920        Pavardenis1920      4.00              
Vardenis1922        Pavardenis1922      3.50              
Vardenis1928        Pavardenis1928      4.00              
Vardenis1936        Pavardenis1936      3.50              
Vardenis1942        Pavardenis1942      3.00              
Vardenis1943        Pavardenis1943      4.00              
Vardenis1944        Pavardenis1944      4.00              
Vardenis1946        Pavardenis1946      4.00              
Vardenis1947        Pavardenis1947      4.00              
Vardenis1950        Pavardenis1950      3.50              
Vardenis1952        Pavardenis1952      4.50              
Vardenis1953        Pavardenis1953      4.00              
Vardenis1956        Pavardenis1956      3.50              
Vardenis1958        Pavardenis1958      4.50              
Vardenis1959        Pavardenis1959      4.50              
Vardenis1960        Pavardenis1960      4.50              
Vardenis1961        Pavardenis1961      3.00              
Vardenis1965        Pavardenis1965      4.00              
Vardenis1970        Pavardenis1970      4.50              
Vardenis1980        Pavardenis1980      4.50              
Vardenis1984        Pavardenis1984      4.50              
Vardenis2000        Pavardenis2000      4.50              
Vardenis2009        Pavardenis2009      3.00              
Vardenis2010        Pavardenis2010      4.50              
Vardenis2013        Pavardenis2013      4.50              
Vardenis2020        Pavardenis2020      4.00              
Vardenis2030        Pavardenis2030      4.00              
Vardenis2034        Pavardenis2034      4.50              
Vardenis2035        Pavardenis2035      3.50              
Vardenis2039        Pavardenis2039      3.50              
Vardenis2042        Pavardenis2042      4.50              
Vardenis2051        Pavardenis2051      4.00              
Vardenis2052        Pavardenis2052      3.50              
Vardenis2055        Pavardenis2055      3.50              
Vardenis2056        Pavardenis2056      4.00              
Vardenis2059        Pavardenis2059      4.00              
Vardenis2060        Pavardenis2060      4.50              
Vardenis2069        Pavardenis2069      3.50              
Vardenis2070        Pavardenis2070      4.00              
Vardenis2073        Pavardenis2073      4.00              
Vardenis2074        Pavardenis2074      4.00              
Vardenis2075        Pavardenis2075      3.50              
Vardenis2079        Pavardenis2079      4.00              
Vardenis2081        Pavardenis2081      4.00              
Vardenis2082        Pavardenis2082      3.00              
Vardenis2085        Pavardenis2085      3.50              
Vardenis2090        Pavardenis2090      3.50              
Vardenis2092        Pavardenis2092      4.50              
Vardenis2094        Pavardenis2094      2.50              
Vardenis2100        Pavardenis2100      4.50              
Vardenis2102        Pavardenis2102      4.00              
Vardenis2104        Pavardenis2104      4.00              
Vardenis2111        Pavardenis2111      4.50              
Vardenis2120        Pavardenis2120      4.50              
Vardenis2128        Pavardenis2128      2.50              
Vardenis2130        Pavardenis2130      4.00              
Vardenis2132        Pavardenis2132      4.50              
Vardenis2133        Pavardenis2133      4.50              
Vardenis2134        Pavardenis2134      4.00              
Vardenis2136        Pavardenis2136      4.00              
Vardenis2139        Pavardenis2139      4.50              
Vardenis2142        Pavardenis2142      4.50              
Vardenis2147        Pavardenis2147      2.50              
Vardenis2150        Pavardenis2150      3.50              
Vardenis2151        Pavardenis2151      2.50              
Vardenis2153        Pavardenis2153      2.50              
Vardenis2156        Pavardenis2156      4.50              
Vardenis2164        Pavardenis2164      4.50              
Vardenis2167        Pavardenis2167      3.00              
Vardenis2169        Pavardenis2169      4.50              
Vardenis2174        Pavardenis2174      4.50              
Vardenis2175        Pavardenis2175      4.50              
Vardenis2184        Pavardenis2184      4.50              
Vardenis2187        Pavardenis2187      4.50              
Vardenis2188        Pavardenis2188      4.50              
Vardenis2197        Pavardenis2197      3.50              
Vardenis2206        Pavardenis2206      3.00              
Vardenis2207        Pavardenis2207      1.00              
Vardenis2215        Pavardenis2215      4.00              
Vardenis2221        Pavardenis2221      3.50              
Vardenis2222        Pavardenis2222      2.00              
Vardenis2223        Pavardenis2223      4.00              
Vardenis2224        Pavardenis2224      4.50              
Vardenis2226        Pavardenis2226      2.50              
Vardenis2229        Pavardenis2229      2.00              
Vardenis2230        Pavardenis2230      4.50              
Vardenis2231        Pavardenis2231      4.00              
Vardenis2232        Pavardenis2232      4.50              
Vardenis2233        Pavardenis2233      4.50              
Vardenis2240        Pavardenis2240      4.00              
Vardenis2241        Pavardenis2241      4.50              
Vardenis2245        Pavardenis2245      4.00              
Vardenis2246        Pavardenis2246      4.50              
Vardenis2257        Pavardenis2257      4.00              
Vardenis2262        Pavardenis2262      4.00              
Vardenis2263        Pavardenis2263      2.50              
Vardenis2264        Pavardenis2264      3.00              
Vardenis2266        Pavardenis2266      3.50              
Vardenis2267        Pavardenis2267      4.50              
Vardenis2268        Pavardenis2268      3.00              
Vardenis2278        Pavardenis2278      3.00              
Vardenis2280        Pavardenis2280      4.50              
Vardenis2284        Pavardenis2284      4.50              
Vardenis2286        Pavardenis2286      4.50              
Vardenis2292        Pavardenis2292      4.50              
Vardenis2293        Pavardenis2293      4.00              
Vardenis2300        Pavardenis2300      4.50              
Vardenis2303        Pavardenis2303      4.00              
Vardenis2304        Pavardenis2304      4.50              
Vardenis2305        Pavardenis2305      4.00              
Vardenis2311        Pavardenis2311      3.00              
Vardenis2312        Pavardenis2312      4.50              
Vardenis2313        Pavardenis2313      4.50              
Vardenis2317        Pavardenis2317      4.50              
Vardenis2320        Pavardenis2320      4.50              
Vardenis2321        Pavardenis2321      4.50              
Vardenis2322        Pavardenis2322      3.50              
Vardenis2325        Pavardenis2325      4.50              
Vardenis2330        Pavardenis2330      3.00              
Vardenis2334        Pavardenis2334      4.00              
Vardenis2339        Pavardenis2339      3.00              
Vardenis2345        Pavardenis2345      4.50              
Vardenis2350        Pavardenis2350      4.50              
Vardenis2351        Pavardenis2351      3.50              
Vardenis2354        Pavardenis2354      4.00              
Vardenis2356        Pavardenis2356      4.00              
Vardenis2362        Pavardenis2362      4.00              
Vardenis2363        Pavardenis2363      4.50              
Vardenis2365        Pavardenis2365      3.50              
Vardenis2369        Pavardenis2369      3.50              
Vardenis2371        Pavardenis2371      2.50              
Vardenis2372        Pavardenis2372      4.50              
Vardenis2376        Pavardenis2376      4.50              
Vardenis2378        Pavardenis2378      4.50              
Vardenis2385        Pavardenis2385      3.50              
Vardenis2389        Pavardenis2389      3.50              
Vardenis2391        Pavardenis2391      4.00              
Vardenis2392        Pavardenis2392      4.00              
Vardenis2394        Pavardenis2394      2.00              
Vardenis2398        Pavardenis2398      3.50              
Vardenis2401        Pavardenis2401      4.50              
Vardenis2402        Pavardenis2402      2.50              
Vardenis2403        Pavardenis2403      4.50              
Vardenis2407        Pavardenis2407      4.00              
Vardenis2410        Pavardenis2410      4.50              
Vardenis2418        Pavardenis2418      4.00              
Vardenis2420        Pavardenis2420      4.50              
Vardenis2424        Pavardenis2424      4.00              
Vardenis2426        Pavardenis2426      4.00              
Vardenis2428        Pavardenis2428      2.50              
Vardenis2430        Pavardenis2430      3.50              
Vardenis2432        Pavardenis2432      4.00              
Vardenis2433        Pavardenis2433      4.50              
Vardenis2434        Pavardenis2434      2.00              
Vardenis2441        Pavardenis2441      3.50              
Vardenis2443        Pavardenis2443      4.50              
Vardenis2446        Pavardenis2446      4.50              
Vardenis2448        Pavardenis2448      3.00              
Vardenis2453        Pavardenis2453      4.50              
Vardenis2455        Pavardenis2455      4.50              
Vardenis2456        Pavardenis2456      4.50              
Vardenis2460        Pavardenis2460      4.50              
Vardenis2461        Pavardenis2461      3.00              
Vardenis2463        Pavardenis2463      3.00              
Vardenis2465        Pavardenis2465      1.50              
Vardenis2466        Pavardenis2466      4.00              
Vardenis2467        Pavardenis2467      4.00              
Vardenis2472        Pavardenis2472      4.00              
Vardenis2474        Pavardenis2474      2.00              
Vardenis2475        Pavardenis2475      4.50              
Vardenis2476        Pavardenis2476      2.00              
Vardenis2479        Pavardenis2479      4.50              
Vardenis2487        Pavardenis2487      3.50              
Vardenis2494        Pavardenis2494      4.00              
Vardenis2505        Pavardenis2505      4.00              
Vardenis2508        Pavardenis2508      3.50              
Vardenis2509        Pavardenis2509      4.50              
Vardenis2510        Pavardenis2510      4.00              
Vardenis2511        Pavardenis2511      4.00              
Vardenis2517        Pavardenis2517      4.50              
Vardenis2521        Pavardenis2521      4.00              
Vardenis2522        Pavardenis2522      1.50              
Vardenis2524        Pavardenis2524      4.50              
Vardenis2526        Pavardenis2526      4.50              
Vardenis2528        Pavardenis2528      3.00              
Vardenis2529        Pavardenis2529      4.00              
Vardenis2542        Pavardenis2542      4.50              
Vardenis2546        Pavardenis2546      4.50              
Vardenis2549        Pavardenis2549      4.50              
Vardenis2550        Pavardenis2550      4.00              
Vardenis2552        Pavardenis2552      3.00              
Vardenis2554        Pavardenis2554      4.50              
Vardenis2558        Pavardenis2558      4.00              
Vardenis2559        Pavardenis2559      4.50              
Vardenis2560        Pavardenis2560      3.50              
Vardenis2566        Pavardenis2566      4.00              
Vardenis2571        Pavardenis2571      3.50              
Vardenis2578        Pavardenis2578      3.50              
Vardenis2582        Pavardenis2582      4.00              
Vardenis2583        Pavardenis2583      3.50              
Vardenis2584        Pavardenis2584      4.00              
Vardenis2586        Pavardenis2586      4.50              
Vardenis2588        Pavardenis2588      3.50              
Vardenis2591        Pavardenis2591      3.50              
Vardenis2592        Pavardenis2592      4.00              
Vardenis2595        Pavardenis2595      3.50              
Vardenis2597        Pavardenis2597      2.00              
Vardenis2601        Pavardenis2601      2.50              
Vardenis2604        Pavardenis2604      4.00              
Vardenis2606        Pavardenis2606      4.50              
Vardenis2612        Pavardenis2612      4.00              
Vardenis2613        Pavardenis2613      4.50              
Vardenis2614        Pavardenis2614      3.50              
Vardenis2617        Pavardenis2617      4.50              
Vardenis2618        Pavardenis2618      4.50              
Vardenis2621        Pavardenis2621      2.50              
Vardenis2630        Pavardenis2630      4.50              
Vardenis2632        Pavardenis2632      4.00              
Vardenis2635        Pavardenis2635      3.50              
Vardenis2636        Pavardenis2636      4.50              
Vardenis2638        Pavardenis2638      3.50              
Vardenis2639        Pavardenis2639      4.50              
Vardenis2640        Pavardenis2640      4.50              
Vardenis2641        Pavardenis2641      4.00              
Vardenis2644        Pavardenis2644      4.50              
Vardenis2647        Pavardenis2647      4.50              
Vardenis2649        Pavardenis2649      3.00              
Vardenis2652        Pavardenis2652      4.50              
Vardenis2660        Pavardenis2660      4.00              
Vardenis2661        Pavardenis2661      4.50              
Vardenis2665        Pavardenis2665      4.50              
Vardenis2667        Pavardenis2667      2.50              
Vardenis2668        Pavardenis2668      4.00              
Vardenis2670        Pavardenis2670      3.00              
Vardenis2671        Pavardenis2671      4.50              
Vardenis2672        Pavardenis2672      4.50              
Vardenis2681        Pavardenis2681      2.50              
Vardenis2683        Pavardenis2683      4.00              
Vardenis2686        Pavardenis2686      3.00              
Vardenis2690        Pavardenis2690      2.50              
Vardenis2692        Pavardenis2692      4.50              
Vardenis2696        Pavardenis2696      3.00              
Vardenis2706        Pavardenis2706      4.50              
Vardenis2708        Pavardenis2708      4.00              
Vardenis2710        Pavardenis2710      3.00              
Vardenis2716        Pavardenis2716      3.50              
Vardenis2717        Pavardenis2717      4.50              
Vardenis2718        Pavardenis2718      4.00              
