Vardas              Pavarde             Galutinis (vid.)  
Vardenis887         Pavardenis887       2.36              
Vardenis891         Pavardenis891       4.32              
Vardenis896         Pavardenis896       3.76              
Vardenis899         Pavardenis899       3.20              
Vardenis901         Pavardenis901       3.04              
Vardenis902         Pavardenis902       4.76              
Vardenis903         Pavardenis903       4.04              
Vardenis905         Pavardenis905       4.72              
Vardenis906         Pavardenis906       4.32              
Vardenis908         Pavardenis908       3.76              
Vardenis909         Pavardenis909       3.40              
Vardenis912         Pavardenis912       4.48              
Vardenis916         Pavardenis916       4.48              
Vardenis921         Pavardenis921       2.84              
Vardenis922         Pavardenis922       3.36              
Vardenis924         Pavardenis924       3.48              
Vardenis927         Pavardenis927       3.56              
Vardenis928         Pavardenis928       3.64              
Vardenis929         Pavardenis929       3.96              
Vardenis931         Pavardenis931       3.44              
Vardenis932         Pavardenis932       2.20              
Vardenis933         Pavardenis933       3.52              
Vardenis938         Pavardenis938       4.20              
Vardenis941         Pavardenis941       2.64              
Vardenis942         Pavardenis942       3.76              
Vardenis950         Pavardenis950       4.52              
Vardenis952         Pavardenis952       3.44              
Vardenis953         Pavardenis953       4.48              
Vardenis957         Pavardenis957       4.12              
Vardenis959         Pavardenis959       3.16              
Vardenis966         Pavardenis966       4.36              
Vardenis970         Pavardenis970       4.08              
Vardenis973         Pavardenis973       4.56              
Vardenis975         Pavardenis975       2.84              
Vardenis976         Pavardenis976       4.76              
Vardenis977         Pavardenis977       4.24              
Vardenis978         Pavardenis978       2.88              
Vardenis979         Pavardenis979       3.24              
Vardenis980         Pavardenis980       3.04              
Vardenis981         Pavardenis981       4.08              
Vardenis983         Pavardenis983       2.56              
Vardenis984         Pavardenis984       3.48              
Vardenis985         Pavardenis985       3.60              
Vardenis986         Pavardenis986       4.92              
Vardenis990         Pavardenis990       3.80              
Vardenis991         Pavardenis991       2.76              
Vardenis993         Pavardenis993       3.72              
Vardenis994         Pavardenis994       3.08              
Vardenis995         Pavardenis995       3.72              
Vardenis996         Pavardenis996       2.96              
Vardenis1000        Pavardenis1000      2.40              
Vardenis5           Pavardenis5         2.76              
Vardenis6           Pavardenis6         3.68              
Vardenis8           Pavardenis8         2.36              
Vardenis12          Pavardenis12        4.84              
Vardenis15          Pavardenis15        2.84              
Vardenis18          Pavardenis18        2.80              
Vardenis23          Pavardenis23        3.12              
Vardenis24          Pavardenis24        4.44              
Vardenis27          Pavardenis27        2.48              
Vardenis28          Pavardenis28        3.20              
Vardenis29          Pavardenis29        3.56              
Vardenis30          Pavardenis30        2.68              
Vardenis31          Pavardenis31        4.84              
Vardenis33          Pavardenis33        3.64              
Vardenis34          Pavardenis34        4.64              
Vardenis35          Pavardenis35        4.00              
Vardenis38          Pavardenis38        4.68              
Vardenis39          Pavardenis39        4.36              
Vardenis44          Pavardenis44        3.60              
Vardenis65          Pavardenis65        3.72              
Vardenis73          Pavardenis73        4.48              
Vardenis74          Pavardenis74        3.04              
Vardenis76          Pavardenis76        4.64              
Vardenis77          Pavardenis77        4.72              
Vardenis80          Pavardenis80        3.28              
Vardenis87          Pavardenis87        3.04              
Vardenis90          Pavardenis90        4.56              
Vardenis92          Pavardenis92        2.24              
Vardenis95          Pavardenis95        4.52              
Vardenis98          Pavardenis98        4.88              
Vardenis99          Pavardenis99        4.84              
Vardenis101         Pavardenis101       2.16              
Vardenis102         Pavardenis102       3.24              
Vardenis107         Pavardenis107       4.40              
Vardenis112         Pavardenis112       2.48              
Vardenis115         Pavardenis115       3.68              
Vardenis118         Pavardenis118       2.56              
Vardenis120         Pavardenis120       3.84              
Vardenis121         Pavardenis121       2.76              
Vardenis130         Pavardenis130       2.72              
Vardenis133         Pavardenis133       3.68              
Vardenis137         Pavardenis137       4.16              
Vardenis138         Pavardenis138       3.88              
Vardenis139         Pavardenis139       4.76              
Vardenis141         Pavardenis141       4.92              
Vardenis147         Pavardenis147       4.04              
Vardenis148         Pavardenis148       3.40              
Vardenis150         Pavardenis150       4.36              
Vardenis156         Pavardenis156       2.80              
Vardenis158         Pavardenis158       3.52              
Vardenis161         Pavardenis161       2.56              
Vardenis164         Pavardenis164       2.92              
Vardenis165         Pavardenis165       4.48              
Vardenis173         Pavardenis173       2.92              
Vardenis177         Pavardenis177       3.80              
Vardenis178         Pavardenis178       3.56              
Vardenis184         Pavardenis184       3.12              
Vardenis186         Pavardenis186       4.88              
Vardenis187         Pavardenis187       2.52              
Vardenis189         Pavardenis189       3.48              
Vardenis192         Pavardenis192       4.72              
Vardenis193         Pavardenis193       3.36              
Vardenis194         Pavardenis194       3.52              
Vardenis197         Pavardenis197       3.96              
Vardenis198         Pavardenis198       2.64              
Vardenis202         Pavardenis202       4.60              
Vardenis206         Pavardenis206       4.32              
Vardenis211         Pavardenis211       3.84              
Vardenis213         Pavardenis213       4.96              
Vardenis214         Pavardenis214       3.88              
Vardenis215         Pavardenis215       4.64              
Vardenis220         Pavardenis220       4.36              
Vardenis221         Pavardenis221       4.96              
Vardenis224         Pavardenis224       2.68              
Vardenis225         Pavardenis225       4.96              
Vardenis231         Pavardenis231       4.36              
Vardenis234         Pavardenis234       2.56              
Vardenis236         Pavardenis236       4.56              
Vardenis238         Pavardenis238       3.68              
Vardenis241         Pavardenis241       3.04              
Vardenis245         Pavardenis245       4.40              
Vardenis246         Pavardenis246       4.04              
Vardenis250         Pavardenis250       4.84              
Vardenis253         Pavardenis253       4.60              
Vardenis256         Pavardenis256       4.72              
Vardenis260         Pavardenis260       4.12              
Vardenis269         Pavardenis269       3.56              
Vardenis272         Pavardenis272       3.64              
Vardenis274         Pavardenis274       4.80              
Vardenis277         Pavardenis277       3.16              
Vardenis279         Pavardenis279       4.24              
Vardenis285         Pavardenis285       3.28              
Vardenis291         Pavardenis291       2.92              
Vardenis295         Pavardenis295       3.04              
Vardenis298         Pavardenis298       4.80              
Vardenis310         Pavardenis310       4.92              
Vardenis311         Pavardenis311       3.56              
Vardenis315         Pavardenis315       4.52              
Vardenis317         Pavardenis317       3.84              
Vardenis322         Pavardenis322       4.88              
Vardenis323         Pavardenis323       3.56              
Vardenis326         Pavardenis326       3.12              
Vardenis328         Pavardenis328       3.64              
Vardenis332         Pavardenis332       2.96              
Vardenis333         Pavardenis333       2.40              
Vardenis334         Pavardenis334       3.28              
Vardenis335         Pavardenis335       3.32              
Vardenis338         Pavardenis338       3.28              
Vardenis339         Pavardenis339       3.84              
Vardenis342         Pavardenis342       3.88              
Vardenis343         Pavardenis343       4.40              
Vardenis345         Pavardenis345       4.76              
Vardenis346         Pavardenis346       4.68              
Vardenis347         Pavardenis347       2.84              
Vardenis348         Pavardenis348       2.76              
Vardenis351         Pavardenis351       4.24              
Vardenis353         Pavardenis353       4.88              
Vardenis354         Pavardenis354       4.68              
Vardenis360         Pavardenis360       4.72              
Vardenis366         Pavardenis366       4.28              
Vardenis367         Pavardenis367       3.32              
Vardenis369         Pavardenis369       3.56              
Vardenis370         Pavardenis370       2.24              
Vardenis372         Pavardenis372       4.88              
Vardenis374         Pavardenis374       4.64              
Vardenis375         Pavardenis375       4.16              
Vardenis381         Pavardenis381       4.80              
Vardenis388         Pavardenis388       2.88              
Vardenis392         Pavardenis392       4.28              
Vardenis396         Pavardenis396       3.08              
Vardenis398         Pavardenis398       3.24              
Vardenis400         Pavardenis400       4.20              
Vardenis404         Pavardenis404       2.40              
Vardenis406         Pavardenis406       4.56              
Vardenis407         Pavardenis407       3.80              
Vardenis416         Pavardenis416       4.52              
Vardenis417         Pavardenis417       2.80              
Vardenis431         Pavardenis431       4.04              
Vardenis433         Pavardenis433       3.04              
Vardenis434         Pavardenis434       3.96              
Vardenis436         Pavardenis436       4.96              
Vardenis437         Pavardenis437       4.16              
Vardenis438         Pavardenis438       1.92              
Vardenis442         Pavardenis442       3.24              
Vardenis444         Pavardenis444       3.48              
Vardenis445         Pavardenis445       4.96              
Vardenis446         Pavardenis446       4.84              
Vardenis452         Pavardenis452       4.12              
Vardenis457         Pavardenis457       3.60              
Vardenis459         Pavardenis459       4.48              
Vardenis460         Pavardenis460       3.72              
Vardenis462         Pavardenis462       4.44              
Vardenis470         Pavardenis470       4.84              
Vardenis472         Pavardenis472       4.96              
Vardenis476         Pavardenis476       2.56              
Vardenis477         Pavardenis477       4.64              
Vardenis478         Pavardenis478       4.20              
Vardenis479         Pavardenis479       4.84              
Vardenis480         Pavardenis480       4.08              
Vardenis482         Pavardenis482       3.56              
Vardenis486         Pavardenis486       3.76              
Vardenis488         Pavardenis488       4.68              
Vardenis489         Pavardenis489       3.08              
Vardenis490         Pavardenis490       3.20              
Vardenis491         Pavardenis491       3.64              
Vardenis500         Pavardenis500       4.52              
Vardenis502         Pavardenis502       3.44              
Vardenis503         Pavardenis503       2.24              
Vardenis506         Pavardenis506       4.68              
Vardenis507         Pavardenis507       3.36              
Vardenis508         Pavardenis508       4.40              
Vardenis510         Pavardenis510       4.40              
Vardenis512         Pavardenis512       2.72              
Vardenis514         Pavardenis514       2.56              
Vardenis516         Pavardenis516       3.52              
Vardenis522         Pavardenis522       2.76              
Vardenis524         Pavardenis524       2.64              
Vardenis526         Pavardenis526       3.68              
Vardenis529         Pavardenis529       3.44              
Vardenis531         Pavardenis531       2.88              
Vardenis532         Pavardenis532       4.48              
Vardenis534         Pavardenis534       4.92              
Vardenis536         Pavardenis536       2.76              
Vardenis539         Pavardenis539       2.76              
Vardenis540         Pavardenis540       4.08              
Vardenis542         Pavardenis542       4.00              
Vardenis550         Pavardenis550       4.52              
Vardenis554         Pavardenis554       2.72              
Vardenis555         Pavardenis555       3.96              
Vardenis556         Pavardenis556       4.48              
Vardenis558         Pavardenis558       4.40              
Vardenis560         Pavardenis560       4.20              
Vardenis562         Pavardenis562       3.52              
Vardenis566         Pavardenis566       2.60              
Vardenis568         Pavardenis568       2.36              
Vardenis569         Pavardenis569       4.24              
Vardenis570         Pavardenis570       3.60              
Vardenis575         Pavardenis575       2.08              
Vardenis578         Pavardenis578       4.36              
Vardenis579         Pavardenis579       4.60              
Vardenis581         Pavardenis581       2.32              
Vardenis582         Pavardenis582       4.44              
Vardenis583         Pavardenis583       3.44              
Vardenis587         Pavardenis587       3.84              
Vardenis593         Pavardenis593       2.60              
Vardenis595         Pavardenis595       2.44              
Vardenis596         Pavardenis596       3.32              
Vardenis600         Pavardenis600       4.76              
Vardenis601         Pavardenis601       3.68              
Vardenis602         Pavardenis602       3.56              
Vardenis605         Pavardenis605       2.68              
Vardenis610         Pavardenis610       3.12              
Vardenis611         Pavardenis611       4.60              
Vardenis612         Pavardenis612       4.76              
Vardenis615         Pavardenis615       2.76              
Vardenis617         Pavardenis617       4.48              
Vardenis625         Pavardenis625       4.64              
Vardenis631         Pavardenis631       4.04              
Vardenis634         Pavardenis634       4.36              
Vardenis635         Pavardenis635       4.64              
Vardenis638         Pavardenis638       3.00              
Vardenis639         Pavardenis639       2.96              
Vardenis642         Pavardenis642       4.12              
Vardenis646         Pavardenis646       3.68              
Vardenis647         Pavardenis647       3.84              
Vardenis650         Pavardenis650       4.16              
Vardenis651         Pavardenis651       4.80              
Vardenis652         Pavardenis652       3.28              
Vardenis653         Pavardenis653       3.60              
Vardenis655         Pavardenis655       3.76              
Vardenis656         Pavardenis656       3.56              
Vardenis659         Pavardenis659       2.56              
Vardenis662         Pavardenis662       3.84              
Vardenis664         Pavardenis664       3.04              
Vardenis666         Pavardenis666       4.96              
Vardenis670         Pavardenis670       3.60              
Vardenis671         Pavardenis671       2.88              
Vardenis672         Pavardenis672       3.84              
Vardenis677         Pavardenis677       2.88              
Vardenis681         Pavardenis681       3.36              
Vardenis683         Pavardenis683       1.96              
Vardenis686         Pavardenis686       3.60              
Vardenis696         Pavardenis696       3.96              
Vardenis698         Pavardenis698       4.08              
Vardenis707         Pavardenis707       2.92              
Vardenis710         Pavardenis710       2.80              
Vardenis711         Pavardenis711       3.96              
Vardenis713         Pavardenis713       4.00              
Vardenis717         Pavardenis717       3.60              
Vardenis718         Pavardenis718       3.56              
Vardenis719         Pavardenis719       2.52              
Vardenis720         Pavardenis720       4.68              
Vardenis723         Pavardenis723       3.04              
Vardenis725         Pavardenis725       3.56              
Vardenis727         Pavardenis727       4.36              
Vardenis731         Pavardenis731       4.16              
Vardenis733         Pavardenis733       2.44              
Vardenis734         Pavardenis734       4.40              
Vardenis739         Pavardenis739       4.72              
Vardenis740         Pavardenis740       4.84              
Vardenis743         Pavardenis743       2.88              
Vardenis745         Pavardenis745       4.68              
Vardenis747         Pavardenis747       3.92              
Vardenis748         Pavardenis748       4.76              
Vardenis749         Pavardenis749       4.44              
Vardenis751         Pavardenis751       2.68              
Vardenis754         Pavardenis754       3.52              
Vardenis756         Pavardenis756       2.68              
Vardenis758         Pavardenis758       2.52              
Vardenis761         Pavardenis761       4.00              
Vardenis763         Pavardenis763       4.92              
Vardenis767         Pavardenis767       4.60              
Vardenis768         Pavardenis768       4.84              
Vardenis771         Pavardenis771       4.52              
Vardenis777         Pavardenis777       3.92              
Vardenis778         Pavardenis778       3.68              
Vardenis780         Pavardenis780       4.88              
Vardenis781         Pavardenis781       3.16              
Vardenis782         Pavardenis782       4.92              
Vardenis783         Pavardenis783       2.44              
Vardenis787         Pavardenis787       4.96              
Vardenis789         Pavardenis789       4.40              
Vardenis790         Pavardenis790       3.80              
Vardenis792         Pavardenis792       2.64              
Vardenis793         Pavardenis793       4.80              
Vardenis795         Pavardenis795       3.16              
Vardenis806         Pavardenis806       3.12              
Vardenis807         Pavardenis807       2.12              
Vardenis808         Pavardenis808       3.76              
Vardenis809         Pavardenis809       4.68              
Vardenis811         Pavardenis811       4.00              
Vardenis812         Pavardenis812       3.28              
Vardenis813         Pavardenis813       3.56              
Vardenis817         Pavardenis817       3.20              
Vardenis818         Pavardenis818       3.12              
Vardenis821         Pavardenis821       3.84              
Vardenis823         Pavardenis823       4.44              
Vardenis826         Pavardenis826       2.92              
Vardenis829         Pavardenis829       4.40              
Vardenis830         Pavardenis830       3.40              
Vardenis833         Pavardenis833       4.68              
Vardenis834         Pavardenis834       4.32              
Vardenis835         Pavardenis835       3.68              
Vardenis837         Pavardenis837       3.08              
Vardenis838         Pavardenis838       2.88              
Vardenis845         Pavardenis845       4.56              
Vardenis846         Pavardenis846       4.36              
Vardenis847         Pavardenis847       4.88              
Vardenis849         Pavardenis849       4.68              
Vardenis850         Pavardenis850       3.52              
Vardenis853         Pavardenis853       3.40              
Vardenis854         Pavardenis854       3.28              
Vardenis855         Pavardenis855       4.52              
Vardenis857         Pavardenis857       2.84              
Vardenis863         Pavardenis863       3.88              
Vardenis865         Pavardenis865       4.44              
Vardenis866         Pavardenis866       3.36              
Vardenis867         Pavardenis867       3.48              
Vardenis868         Pavardenis868       3.40              
Vardenis871         Pavardenis871       2.60              
Vardenis872         Pavardenis872       3.64              
Vardenis878         Pavardenis878       4.44              
Vardenis880         Pavardenis880       3.04              
Vardenis882         Pavardenis882       2.12              
Vardenis884         Pavardenis884       3.24              
Vardenis885         Pavardenis885       4.56              
Vardenis886         Pavardenis886       3.16              
Vardenis887         Pavardenis887       2.72              
Vardenis889         Pavardenis889       4.40              
Vardenis890         Pavardenis890       4.28              
Vardenis893         Pavardenis893       3.24              
Vardenis896         Pavardenis896       4.68              
Vardenis903         Pavardenis903       2.96              
Vardenis904         Pavardenis904       2.60              
Vardenis905         Pavardenis905       3.16              
Vardenis906         Pavardenis906       4.64              
Vardenis909         Pavardenis909       4.32              
Vardenis912         Pavardenis912       3.32              
Vardenis915         Pavardenis915       3.92              
Vardenis918         Pavardenis918       4.24              
Vardenis919         Pavardenis919       4.88              
Vardenis920         Pavardenis920       4.20              
Vardenis921         Pavardenis921       4.24              
Vardenis923         Pavardenis923       4.48              
Vardenis926         Pavardenis926       2.24              
Vardenis927         Pavardenis927       3.24              
Vardenis928         Pavardenis928       4.40              
Vardenis931         Pavardenis931       3.40              
Vardenis932         Pavardenis932       3.32              
Vardenis934         Pavardenis934       3.64              
Vardenis940         Pavardenis940       3.16              
Vardenis941         Pavardenis941       4.88              
Vardenis942         Pavardenis942       3.16              
Vardenis946         Pavardenis946       4.52              
Vardenis948         Pavardenis948       3.60              
Vardenis950         Pavardenis950       2.84              
Vardenis952         Pavardenis952       3.64              
Vardenis953         Pavardenis953       3.72              
Vardenis955         Pavardenis955       4.08              
Vardenis956         Pavardenis956       3.28              
Vardenis959         Pavardenis959       4.64              
Vardenis960         Pavardenis960       4.08              
Vardenis961         Pavardenis961       2.92              
Vardenis969         Pavardenis969       4.92              
Vardenis970         Pavardenis970       4.52              
Vardenis971         Pavardenis971       4.44              
Vardenis972         Pavardenis972       4.08              
Vardenis975         Pavardenis975       4.52              
Vardenis982         Pavardenis982       3.52              
Vardenis989         Pavardenis989       4.16              
Vardenis991         Pavardenis991       3.04              
Vardenis992         Pavardenis992       3.04              
Vardenis993         Pavardenis993       4.20              
Vardenis995         Pavardenis995       2.84              
Vardenis997         Pavardenis997       4.24              
Vardenis998         Pavardenis998       3.64              
Vardenis1001        Pavardenis1001      2.48              
Vardenis1004        Pavardenis1004      2.52              
Vardenis1006        Pavardenis1006      4.12              
Vardenis1007        Pavardenis1007      4.36              
Vardenis1012        Pavardenis1012      4.88              
Vardenis1016        Pavardenis1016      3.60              
Vardenis1021        Pavardenis1021      2.08              
Vardenis1023        Pavardenis1023      4.20              
Vardenis1024        Pavardenis1024      2.76              
Vardenis1027        Pavardenis1027      2.92              
Vardenis1030        Pavardenis1030      2.96              
Vardenis1031        Pavardenis1031      3.48              
Vardenis1033        Pavardenis1033      2.92              
Vardenis1037        Pavardenis1037      4.80              
Vardenis1040        Pavardenis1040      1.84              
Vardenis1043        Pavardenis1043      4.56              
Vardenis1045        Pavardenis1045      3.52              
Vardenis1046        Pavardenis1046      4.68              
Vardenis1050        Pavardenis1050      3.20              
Vardenis1060        Pavardenis1060      3.20              
Vardenis1063        Pavardenis1063      3.08              
Vardenis1069        Pavardenis1069      4.24              
Vardenis1071        Pavardenis1071      3.32              
Vardenis1073        Pavardenis1073      2.68              
Vardenis1074        Pavardenis1074      3.32              
Vardenis1075        Pavardenis1075      4.56              
Vardenis1077        Pavardenis1077      4.56              
Vardenis1085        Pavardenis1085      4.56              
Vardenis1087        Pavardenis1087      3.48              
Vardenis1089        Pavardenis1089      4.72              
Vardenis1090        Pavardenis1090      3.80              
Vardenis1092        Pavardenis1092      2.88              
Vardenis1097        Pavardenis1097      4.76              
Vardenis1101        Pavardenis1101      2.24              
Vardenis1106        Pavardenis1106      4.12              
Vardenis1108        Pavardenis1108      3.40              
Vardenis1112        Pavardenis1112      3.64              
Vardenis1115        Pavardenis1115      3.60              
Vardenis1120        Pavardenis1120      3.36              
Vardenis1121        Pavardenis1121      4.44              
Vardenis1122        Pavardenis1122      3.96              
Vardenis1124        Pavardenis1124      3.56              
Vardenis1125        Pavardenis1125      4.48              
Vardenis1126        Pavardenis1126      4.28              
Vardenis1128        Pavardenis1128      3.40              
Vardenis1129        Pavardenis1129      3.24              
Vardenis1130        Pavardenis1130      4.56              
Vardenis1133        Pavardenis1133      2.76              
Vardenis1134        Pavardenis1134      4.44              
Vardenis1139        Pavardenis1139      4.00              
Vardenis1144        Pavardenis1144      4.76              
Vardenis1146        Pavardenis1146      4.96              
Vardenis1149        Pavardenis1149      4.96              
Vardenis1150        Pavardenis1150      4.28              
Vardenis1151        Pavardenis1151      3.00              
Vardenis1153        Pavardenis1153      4.20              
Vardenis1154        Pavardenis1154      2.64              
Vardenis1156        Pavardenis1156      4.32              
Vardenis1158        Pavardenis1158      4.28              
Vardenis1159        Pavardenis1159      2.84              
Vardenis1161        Pavardenis1161      3.76              
Vardenis1166        Pavardenis1166      4.68              
Vardenis1167        Pavardenis1167      3.16              
Vardenis1168        Pavardenis1168      3.60              
Vardenis1174        Pavardenis1174      4.08              
Vardenis1175        Pavardenis1175      2.88              
Vardenis1176        Pavardenis1176      3.68              
Vardenis1177        Pavardenis1177      3.20              
Vardenis1179        Pavardenis1179      4.76              
Vardenis1180        Pavardenis1180      4.04              
Vardenis1182        Pavardenis1182      2.92              
Vardenis1184        Pavardenis1184      4.88              
Vardenis1185        Pavardenis1185      4.04              
Vardenis1186        Pavardenis1186      3.32              
Vardenis1187        Pavardenis1187      4.08              
Vardenis1188        Pavardenis1188      4.84              
Vardenis1189        Pavardenis1189      3.00              
Vardenis1190        Pavardenis1190      4.52              
Vardenis1193        Pavardenis1193      3.64              
Vardenis1194        Pavardenis1194      4.48              
Vardenis1198        Pavardenis1198      2.52              
Vardenis1201        Pavardenis1201      2.60              
Vardenis1202        Pavardenis1202      2.80              
Vardenis1203        Pavardenis1203      3.00              
Vardenis1204        Pavardenis1204      3.00              
Vardenis1209        Pavardenis1209      2.84              
Vardenis1213        Pavardenis1213      4.88              
Vardenis1215        Pavardenis1215      3.08              
Vardenis1216        Pavardenis1216      4.20              
Vardenis1223        Pavardenis1223      2.60              
Vardenis1225        Pavardenis1225      3.36              
Vardenis1228        Pavardenis1228      2.56              
Vardenis1234        Pavardenis1234      3.32              
Vardenis1235        Pavardenis1235      3.32              
Vardenis1237        Pavardenis1237      3.52              
Vardenis1238        Pavardenis1238      3.00              
Vardenis1240        Pavardenis1240      3.48              
Vardenis1242        Pavardenis1242      4.24              
Vardenis1243        Pavardenis1243      4.40              
Vardenis1244        Pavardenis1244      3.56              
Vardenis1248        Pavardenis1248      4.64              
Vardenis1249        Pavardenis1249      3.32              
Vardenis1250        Pavardenis1250      3.32              
Vardenis1255        Pavardenis1255      3.56              
Vardenis1257        Pavardenis1257      3.04              
Vardenis1258        Pavardenis1258      4.76              
Vardenis1259        Pavardenis1259      3.96              
Vardenis1261        Pavardenis1261      2.84              
Vardenis1262        Pavardenis1262      3.52              
Vardenis1264        Pavardenis1264      3.60              
Vardenis1266        Pavardenis1266      4.44              
Vardenis1267        Pavardenis1267      3.52              
Vardenis1269        Pavardenis1269      4.68              
Vardenis1271        Pavardenis1271      2.80              
Vardenis1273        Pavardenis1273      4.88              
Vardenis1274        Pavardenis1274      2.80              
Vardenis1275        Pavardenis1275      4.72              
Vardenis1277        Pavardenis1277      3.40              
Vardenis1278        Pavardenis1278      3.76              
Vardenis1279        Pavardenis1279      3.56              
Vardenis1280        Pavardenis1280      2.08              
Vardenis1286        Pavardenis1286      2.36              
Vardenis1288        Pavardenis1288      4.76              
Vardenis1292        Pavardenis1292      2.52              
Vardenis1293        Pavardenis1293      3.92              
Vardenis1294        Pavardenis1294      4.76              
Vardenis1295        Pavardenis1295      4.16              
Vardenis1296        Pavardenis1296      3.44              
Vardenis1297        Pavardenis1297      4.16              
Vardenis1299        Pavardenis1299      4.08              
Vardenis1304        Pavardenis1304      3.96              
Vardenis1305        Pavardenis1305      3.36              
Vardenis1308        Pavardenis1308      3.48              
Vardenis1310        Pavardenis1310      4.40              
Vardenis1312        Pavardenis1312      3.44              
Vardenis1313        Pavardenis1313      3.44              
Vardenis1314        Pavardenis1314      4.12              
Vardenis1315        Pavardenis1315      3.20              
Vardenis1316        Pavardenis1316      4.08              
Vardenis1317        Pavardenis1317      2.92              
Vardenis1319        Pavardenis1319      3.44              
Vardenis1322        Pavardenis1322      2.80              
Vardenis1323        Pavardenis1323      4.44              
Vardenis1324        Pavardenis1324      4.72              
Vardenis1325        Pavardenis1325      2.68              
Vardenis1326        Pavardenis1326      4.40              
Vardenis1327        Pavardenis1327      3.32              
Vardenis1333        Pavardenis1333      4.12              
Vardenis1334        Pavardenis1334      4.96              
Vardenis1335        Pavardenis1335      3.80              
Vardenis1336        Pavardenis1336      4.00              
Vardenis1338        Pavardenis1338      4.92              
Vardenis1340        Pavardenis1340      4.76              
Vardenis1345        Pavardenis1345      4.88              
Vardenis1348        Pavardenis1348      4.32              
Vardenis1353        Pavardenis1353      4.76              
Vardenis1354        Pavardenis1354      2.80              
Vardenis1363        Pavardenis1363      4.84              
Vardenis1366        Pavardenis1366      3.96              
Vardenis1367        Pavardenis1367      4.72              
Vardenis1369        Pavardenis1369      2.24              
Vardenis1375        Pavardenis1375      3.56              
Vardenis1376        Pavardenis1376      4.48              
Vardenis1377        Pavardenis1377      3.76              
Vardenis1378        Pavardenis1378      2.52              
Vardenis1379        Pavardenis1379      2.92              
Vardenis1383        Pavardenis1383      3.20              
Vardenis1384        Pavardenis1384      3.12              
Vardenis1385        Pavardenis1385      2.80              
Vardenis1388        Pavardenis1388      4.28              
Vardenis1390        Pavardenis1390      2.92              
Vardenis1391        Pavardenis1391      3.72              
Vardenis1393        Pavardenis1393      4.96              
Vardenis1396        Pavardenis1396      3.68              
Vardenis1398        Pavardenis1398      3.84              
Vardenis1400        Pavardenis1400      2.84              
Vardenis1403        Pavardenis1403      3.12              
Vardenis1406        Pavardenis1406      2.76              
Vardenis1407        Pavardenis1407      4.88              
Vardenis1414        Pavardenis1414      3.88              
Vardenis1415        Pavardenis1415      3.48              
Vardenis1419        Pavardenis1419      2.40              
Vardenis1420        Pavardenis1420      3.40              
Vardenis1422        Pavardenis1422      4.00              
Vardenis1423        Pavardenis1423      2.80              
Vardenis1424        Pavardenis1424      2.64              
Vardenis1425        Pavardenis1425      2.80              
Vardenis1427        Pavardenis1427      4.12              
Vardenis1428        Pavardenis1428      4.28              
Vardenis1430        Pavardenis1430      2.96              
Vardenis1433        Pavardenis1433      3.04              
Vardenis1434        Pavardenis1434      3.36              
Vardenis1436        Pavardenis1436      2.72              
Vardenis1440        Pavardenis1440      4.28              
Vardenis1442        Pavardenis1442      4.48              
Vardenis1445        Pavardenis1445      4.24              
Vardenis1447        Pavardenis1447      3.44              
Vardenis1451        Pavardenis1451      3.72              
Vardenis1452        Pavardenis1452      3.28              
Vardenis1457        Pavardenis1457      4.56              
Vardenis1459        Pavardenis1459      2.28              
Vardenis1461        Pavardenis1461      3.32              
Vardenis1464        Pavardenis1464      4.20              
Vardenis1465        Pavardenis1465      4.36              
Vardenis1468        Pavardenis1468      2.44              
Vardenis1478        Pavardenis1478      3.36              
Vardenis1479        Pavardenis1479      3.20              
Vardenis1482        Pavardenis1482      4.92              
Vardenis1483        Pavardenis1483      4.28              
Vardenis1484        Pavardenis1484      3.64              
Vardenis1488        Pavardenis1488      4.80              
Vardenis1489        Pavardenis1489      4.40              
Vardenis1494        Pavardenis1494      4.52              
Vardenis1497        Pavardenis1497      4.52              
Vardenis1504        Pavardenis1504      3.92              
Vardenis1505        Pavardenis1505      3.60              
Vardenis1506        Pavardenis1506      4.08              
Vardenis1514        Pavardenis1514      3.76              
Vardenis1515        Pavardenis1515      2.92              
Vardenis1516        Pavardenis1516      3.64              
Vardenis1522        Pavardenis1522      3.08              
Vardenis1526        Pavardenis1526      2.92              
Vardenis1527        Pavardenis1527      3.56              
Vardenis1529        Pavardenis1529      4.68              
Vardenis1531        Pavardenis1531      3.04              
Vardenis1534        Pavardenis1534      4.04              
Vardenis1536        Pavardenis1536      3.20              
Vardenis1540        Pavardenis1540      3.76              
Vardenis1542        Pavardenis1542      2.96              
Vardenis1543        Pavardenis1543      4.00              
Vardenis1545        Pavardenis1545      2.72              
Vardenis1548        Pavardenis1548      4.56              
Vardenis1550        Pavardenis1550      3.60              
Vardenis1551        Pavardenis1551      2.88              
Vardenis1554        Pavardenis1554      2.28              
Vardenis1556        Pavardenis1556      4.48              
Vardenis1557        Pavardenis1557      4.08              
Vardenis1561        Pavardenis1561      4.64              
Vardenis1562        Pavardenis1562      3.84              
Vardenis1568        Pavardenis1568      2.80              
Vardenis1570        Pavardenis1570      4.72              
Vardenis1571        Pavardenis1571      4.32              
Vardenis1575        Pavardenis1575      4.00              
Vardenis1579        Pavardenis1579      4.76              
Vardenis1580        Pavardenis1580      4.88              
Vardenis1581        Pavardenis1581      3.04              
Vardenis1582        Pavardenis1582      3.08              
