Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    Egz.    
Vardenis2812        Pavardenis2812      3       8       8       8       4       6       4       4       4       2       10      
Vardenis2813        Pavardenis2813      1       3       1       9       2       9       2       5       9       7       10      
Vardenis2814        Pavardenis2814      8       3       8       1       2       5       3       5       6       9       1       
Vardenis2815        Pavardenis2815      6       5       7       8       5       2       1       1       6       8       10      
Vardenis2816        Pavardenis2816      4       1       10      9       3       8       6       3       1       8       9       
Vardenis2817        Pavardenis2817      8       5       6       9       10      9       2       4       3       6       2       
Vardenis2818        Pavardenis2818      10      8       1       6       6       2       10      2       9       10      2       
Vardenis2819        Pavardenis2819      8       8       4       4       10      3       8       5       8       4       5       
Vardenis2820        Pavardenis2820      7       2       1       9       9       4       6       3       7       5       7       
Vardenis2821        Pavardenis2821      9       7       2       5       7       1       8       2       6       10      10      
Vardenis2822        Pavardenis2822      3       3       2       8       4       4       3       9       1       1       6       
Vardenis2823        Pavardenis2823      9       1       9       4       10      1       9       5       7       1       7       
Vardenis2824        Pavardenis2824      10      8       1       3       5       5       5       4       6       4       9       
Vardenis2825        Pavardenis2825      8       5       9       4       8       7       2       4       8       4       5       
Vardenis2826        Pavardenis2826      6       10      7       1       1       9       5       3       10      10      10      
Vardenis2827        Pavardenis2827      6       3       8       4       5       5       8       8       6       5       1       
Vardenis2828        Pavardenis2828      8       4       4       10      8       6       9       5       5       2       5       
Vardenis2829        Pavardenis2829      2       8       2       10      6       3       2       5       8       4       5       
Vardenis2830        Pavardenis2830      10      5       2       9       1       8       1       6       10      9       5       
Vardenis2831        Pavardenis2831      8       2       2       10      3       10      5       9       1       6       9       
Vardenis2832        Pavardenis2832      9       7       1       8       7       9       9       3       4       6       8       
Vardenis2833        Pavardenis2833      5       6       8       5       10      10      4       2       2       9       9       
Vardenis2834        Pavardenis2834      9       5       9       1       1       5       10      2       9       5       9       
Vardenis2835        Pavardenis2835      9       1       10      6       1       8       3       6       2       10      1       
Vardenis2836        Pavardenis2836      8       9       4       8       1       9       4       3       4       8       6       
Vardenis2837        Pavardenis2837      2       6       7       4       6       10      10      7       6       4       5       
Vardenis2838        Pavardenis2838      9       7       1       9       3       4       1       4       7       2       1       
Vardenis2839        Pavardenis2839      1       7       8       6       7       7       5       6       2       9       3       
Vardenis2840        Pavardenis2840      2       7       7       6       2       6       1       3       6       10      5       
Vardenis2841        Pavardenis2841      9       9       3       10      3       8       7       1       2       6       1       
Vardenis2842        Pavardenis2842      4       9       2       7       8       10      8       2       8       5       1       
Vardenis2843        Pavardenis2843      6       6       8       1       4       4       8       4       9       7       7       
Vardenis2844        Pavardenis2844      4       8       4       10      1       2       5       2       4       4       2       
Vardenis2845        Pavardenis2845      1       1       7       3       10      6       5       2       4       5       5       
Vardenis2846        Pavardenis2846      4       9       10      4       4       6       6       3       10      10      10      
Vardenis2847        Pavardenis2847      2       2       10      6       1       6       10      1       8       3       4       
Vardenis2848        Pavardenis2848      5       2       4       9       6       5       4       10      8       9       8       
Vardenis2849        Pavardenis2849      7       5       5       3       10      2       9       3       5       5       1       
Vardenis2850        Pavardenis2850      2       10      8       1       8       7       7       4       2       2       6       
Vardenis2851        Pavardenis2851      3       8       9       1       7       5       9       6       9       3       5       
Vardenis2852        Pavardenis2852      8       6       1       2       5       5       5       3       3       8       1       
Vardenis2853        Pavardenis2853      6       5       1       9       1       4       6       10      1       9       5       
Vardenis2854        Pavardenis2854      10      1       3       7       2       3       8       5       7       3       4       
Vardenis2855        Pavardenis2855      5       4       8       3       2       4       2       4       10      2       2       
Vardenis2856        Pavardenis2856      1       10      6       5       8       8       1       5       3       3       3       
Vardenis2857        Pavardenis2857      7       2       8       7       6       3       8       8       3       10      8       
Vardenis2858        Pavardenis2858      4       4       7       9       7       7       8       7       7       5       5       
Vardenis2859        Pavardenis2859      3       4       4       3       10      4       2       4       6       3       2       
Vardenis2860        Pavardenis2860      7       4       6       6       1       6       9       1       2       2       9       
Vardenis2861        Pavardenis2861      10      3       7       9       4       7       1       5       10      3       9       
Vardenis2862        Pavardenis2862      6       8       7       2       1       2       10      5       1       2       5       
Vardenis2863        Pavardenis2863      4       8       3       10      8       1       6       4       3       1       5       
Vardenis2864        Pavardenis2864      5       9       6       7       7       5       3       9       5       1       9       
Vardenis2865        Pavardenis2865      4       3       5       5       5       9       4       3       4       4       9       
Vardenis2866        Pavardenis2866      2       3       3       10      3       10      4       2       4       9       10      
Vardenis2867        Pavardenis2867      8       8       2       5       9       3       9       4       2       5       6       
Vardenis2868        Pavardenis2868      10      6       3       6       8       4       4       8       2       8       3       
Vardenis2869        Pavardenis2869      1       8       7       9       6       6       6       1       10      10      5       
Vardenis2870        Pavardenis2870      2       3       8       10      2       6       4       7       4       4       2       
Vardenis2871        Pavardenis2871      4       4       5       5       8       1       4       4       2       5       7       
Vardenis2872        Pavardenis2872      9       6       9       6       7       2       7       8       5       7       3       
Vardenis2873        Pavardenis2873      4       5       7       6       2       7       8       7       7       1       7       
Vardenis2874        Pavardenis2874      2       10      8       1       8       7       2       7       10      1       5       
Vardenis2875        Pavardenis2875      2       1       1       6       7       3       1       8       7       6       1       
Vardenis2876        Pavardenis2876      6       9       8       3       8       6       9       5       8       8       9       
Vardenis2877        Pavardenis2877      7       8       2       8       5       4       10      10      1       8       6       
Vardenis2878        Pavardenis2878      8       5       1       9       7       5       9       1       8       10      7       
Vardenis2879        Pavardenis2879      9       9       5       2       2       4       2       5       2       6       6       
Vardenis2880        Pavardenis2880      2       2       9       9       6       7       9       3       8       2       6       
Vardenis2881        Pavardenis2881      8       8       5       3       2       2       6       3       2       7       6       
Vardenis2882        Pavardenis2882      7       10      9       1       3       2       6       4       4       5       2       
Vardenis2883        Pavardenis2883      8       2       2       1       4       5       2       8       9       1       1       
Vardenis2884        Pavardenis2884      3       5       2       4       4       9       1       3       9       1       9       
Vardenis2885        Pavardenis2885      2       1       8       9       7       4       7       4       6       4       1       
Vardenis2886        Pavardenis2886      8       6       5       2       7       7       1       10      9       5       9       
Vardenis2887        Pavardenis2887      8       3       9       4       3       3       9       8       2       9       8       
Vardenis2888        Pavardenis2888      6       4       6       10      3       4       4       4       1       4       5       
Vardenis2889        Pavardenis2889      8       10      8       2       6       10      2       9       2       2       10      
Vardenis2890        Pavardenis2890      7       5       10      3       6       2       8       8       4       8       3       
Vardenis2891        Pavardenis2891      2       1       3       5       4       5       5       3       9       10      1       
Vardenis2892        Pavardenis2892      5       2       3       10      6       7       3       3       10      4       10      
Vardenis2893        Pavardenis2893      7       6       6       6       6       5       1       7       9       8       2       
Vardenis2894        Pavardenis2894      8       3       5       7       4       1       10      7       6       8       1       
Vardenis2895        Pavardenis2895      4       10      3       6       9       5       2       4       9       2       9       
Vardenis2896        Pavardenis2896      5       9       4       9       3       3       10      6       5       3       6       
Vardenis2897        Pavardenis2897      6       9       6       9       4       4       7       5       4       8       7       
Vardenis2898        Pavardenis2898      6       3       9       8       1       5       1       7       5       5       5       
Vardenis2899        Pavardenis2899      6       10      7       2       1       6       9       1       6       6       1       
Vardenis2900        Pavardenis2900      10      4       8       10      6       6       8       5       8       7       1       
Vardenis2901        Pavardenis2901      2       4       6       6       6       5       9       9       1       4       8       
Vardenis2902        Pavardenis2902      7       1       4       8       2       4       4       4       4       8       4       
Vardenis2903        Pavardenis2903      2       2       3       5       1       10      10      4       5       9       6       
Vardenis2904        Pavardenis2904      10      2       9       5       4       9       2       1       10      3       6       
Vardenis2905        Pavardenis2905      3       1       9       6       5       7       8       5       7       5       5       
Vardenis2906        Pavardenis2906      2       5       7       2       7       5       4       9       6       9       5       
Vardenis2907        Pavardenis2907      6       6       2       9       6       7       10      6       3       3       3       
Vardenis2908        Pavardenis2908      9       1       1       10      1       3       10      3       10      10      7       
Vardenis2909        Pavardenis2909      10      2       2       2       6       2       3       5       3       1       3       
Vardenis2910        Pavardenis2910      6       9       10      2       5       7       7       1       1       8       8       
Vardenis2911        Pavardenis2911      2       10      2       1       4       7       10      5       10      1       4       
Vardenis2912        Pavardenis2912      6       5       7       10      1       2       4       5       8       6       4       
Vardenis2913        Pavardenis2913      6       9       6       9       6       10      6       9       2       7       7       
Vardenis2914        Pavardenis2914      1       7       9       2       10      5       4       9       2       6       6       
Vardenis2915        Pavardenis2915      8       9       8       1       5       1       9       5       4       8       1       
Vardenis2916        Pavardenis2916      6       5       9       10      8       6       4       5       9       7       3       
Vardenis2917        Pavardenis2917      1       8       6       1       2       6       8       10      10      9       3       
Vardenis2918        Pavardenis2918      5       9       8       2       5       4       5       6       1       7       4       
Vardenis2919        Pavardenis2919      6       6       1       10      1       2       1       5       7       9       4       
Vardenis2920        Pavardenis2920      7       4       2       8       8       1       4       2       7       7       1       
Vardenis2921        Pavardenis2921      4       5       5       5       3       8       5       9       6       6       6       
Vardenis2922        Pavardenis2922      2       9       9       10      5       7       3       10      7       4       10      
Vardenis2923        Pavardenis2923      7       7       5       8       9       4       10      6       9       6       1       
Vardenis2924        Pavardenis2924      2       9       3       1       4       6       9       2       4       10      8       
Vardenis2925        Pavardenis2925      8       2       3       6       9       3       7       1       7       1       8       
Vardenis2926        Pavardenis2926      6       3       10      10      2       10      8       2       10      10      6       
Vardenis2927        Pavardenis2927      4       4       5       7       10      2       9       8       3       9       2       
Vardenis2928        Pavardenis2928      8       3       4       3       10      9       8       3       9       4       3       
Vardenis2929        Pavardenis2929      10      6       3       4       6       9       1       4       2       3       9       
Vardenis2930        Pavardenis2930      5       9       6       8       8       9       4       7       9       7       3       
Vardenis2931        Pavardenis2931      9       1       6       10      3       7       10      8       4       4       6       
Vardenis2932        Pavardenis2932      10      9       1       6       2       10      1       3       3       3       6       
Vardenis2933        Pavardenis2933      8       9       10      10      7       5       7       1       2       5       6       
Vardenis2934        Pavardenis2934      8       4       5       10      8       2       6       8       3       6       3       
Vardenis2935        Pavardenis2935      2       1       7       6       8       5       7       3       3       6       9       
Vardenis2936        Pavardenis2936      2       9       1       2       2       2       5       3       7       9       2       
Vardenis2937        Pavardenis2937      3       10      6       10      10      2       6       8       2       4       9       
Vardenis2938        Pavardenis2938      2       1       1       7       7       10      9       8       1       2       2       
Vardenis2939        Pavardenis2939      8       5       10      3       3       2       1       5       7       5       7       
Vardenis2940        Pavardenis2940      2       8       6       10      5       1       9       7       3       6       6       
Vardenis2941        Pavardenis2941      6       5       1       6       10      5       6       10      6       10      10      
Vardenis2942        Pavardenis2942      4       4       10      3       3       1       1       9       4       2       7       
Vardenis2943        Pavardenis2943      5       1       7       1       1       1       1       6       4       8       8       
Vardenis2944        Pavardenis2944      5       7       6       7       6       8       6       7       4       8       1       
Vardenis2945        Pavardenis2945      8       7       5       6       5       8       1       8       7       9       6       
Vardenis2946        Pavardenis2946      1       10      8       7       9       1       7       1       7       9       7       
Vardenis2947        Pavardenis2947      2       8       3       2       8       1       3       2       10      3       8       
Vardenis2948        Pavardenis2948      2       2       10      7       2       6       5       1       8       8       2       
Vardenis2949        Pavardenis2949      10      10      6       4       7       1       6       1       7       7       8       
Vardenis2950        Pavardenis2950      9       1       5       3       8       4       3       7       3       2       6       
Vardenis2951        Pavardenis2951      8       6       8       4       2       2       6       6       4       3       6       
Vardenis2952        Pavardenis2952      7       1       4       3       3       2       7       10      4       5       1       
Vardenis2953        Pavardenis2953      5       2       5       1       4       9       9       6       4       6       10      
Vardenis2954        Pavardenis2954      10      1       2       10      4       5       10      5       3       10      10      
Vardenis2955        Pavardenis2955      5       9       7       1       8       4       6       10      6       1       1       
Vardenis2956        Pavardenis2956      2       5       7       4       6       3       4       8       10      2       9       
Vardenis2957        Pavardenis2957      10      8       6       9       8       1       3       1       9       2       7       
Vardenis2958        Pavardenis2958      4       10      7       5       10      5       9       8       5       5       3       
Vardenis2959        Pavardenis2959      2       9       2       8       5       5       5       2       10      4       6       
Vardenis2960        Pavardenis2960      1       10      1       7       3       9       9       5       9       3       10      
Vardenis2961        Pavardenis2961      4       3       1       10      2       4       3       10      9       1       5       
Vardenis2962        Pavardenis2962      10      9       2       4       6       3       7       5       5       1       1       
Vardenis2963        Pavardenis2963      10      3       6       4       10      4       7       1       6       9       6       
Vardenis2964        Pavardenis2964      8       3       2       9       8       6       1       1       5       5       6       
Vardenis2965        Pavardenis2965      10      1       1       2       3       5       10      10      1       9       1       
Vardenis2966        Pavardenis2966      8       5       5       3       1       5       4       10      8       9       8       
Vardenis2967        Pavardenis2967      9       1       2       3       6       4       5       1       10      5       7       
Vardenis2968        Pavardenis2968      5       6       3       10      2       7       8       2       9       9       1       
Vardenis2969        Pavardenis2969      3       2       9       2       10      7       2       6       1       1       5       
Vardenis2970        Pavardenis2970      10      7       5       8       2       3       9       5       3       10      8       
Vardenis2971        Pavardenis2971      6       4       4       5       6       2       10      7       1       8       4       
Vardenis2972        Pavardenis2972      5       3       9       10      9       8       3       6       4       2       7       
Vardenis2973        Pavardenis2973      6       8       7       9       5       9       6       10      3       8       5       
Vardenis2974        Pavardenis2974      8       5       2       6       5       7       2       6       5       9       1       
Vardenis2975        Pavardenis2975      8       1       4       3       1       6       6       4       9       5       6       
Vardenis2976        Pavardenis2976      6       7       2       2       10      1       8       6       10      6       5       
Vardenis2977        Pavardenis2977      5       2       5       2       1       10      8       2       9       2       1       
Vardenis2978        Pavardenis2978      5       2       2       4       4       9       9       7       5       8       2       
Vardenis2979        Pavardenis2979      2       8       6       10      9       5       4       4       1       8       8       
Vardenis2980        Pavardenis2980      1       10      5       8       7       7       10      2       4       5       6       
Vardenis2981        Pavardenis2981      3       3       3       9       4       1       7       5       8       3       3       
Vardenis2982        Pavardenis2982      5       7       9       7       5       3       4       5       6       3       9       
Vardenis2983        Pavardenis2983      10      8       9       3       3       3       5       2       4       4       5       
Vardenis2984        Pavardenis2984      1       5       4       2       3       3       3       1       5       2       2       
Vardenis2985        Pavardenis2985      5       8       5       4       2       3       1       9       2       3       10      
Vardenis2986        Pavardenis2986      6       2       3       10      7       1       1       7       1       9       1       
Vardenis2987        Pavardenis2987      4       8       3       1       1       2       1       10      10      2       2       
Vardenis2988        Pavardenis2988      6       5       1       3       4       2       7       6       7       3       4       
Vardenis2989        Pavardenis2989      2       8       9       8       7       5       7       5       3       8       7       
Vardenis2990        Pavardenis2990      1       2       9       3       6       6       9       4       5       9       5       
Vardenis2991        Pavardenis2991      8       1       7       1       9       1       3       7       2       8       2       
Vardenis2992        Pavardenis2992      6       5       3       2       4       1       8       3       10      6       6       
Vardenis2993        Pavardenis2993      5       1       6       5       8       6       7       2       5       7       2       
Vardenis2994        Pavardenis2994      2       10      6       5       9       10      2       4       9       6       7       
Vardenis2995        Pavardenis2995      7       4       4       2       10      10      3       5       4       5       6       
Vardenis2996        Pavardenis2996      10      10      7       7       9       2       10      2       1       6       7       
Vardenis2997        Pavardenis2997      3       6       5       5       5       6       6       6       10      9       3       
Vardenis2998        Pavardenis2998      3       6       5       1       7       9       4       4       6       3       5       
Vardenis2999        Pavardenis2999      9       5       5       1       8       5       7       1       6       3       6       
Vardenis3000        Pavardenis3000      5       5       3       7       5       4       7       9       3       4       6       
Vardenis3001        Pavardenis3001      8       8       1       1       8       3       5       9       2       1       7       
Vardenis3002        Pavardenis3002      5       6       4       8       7       4       7       10      4       6       5       
Vardenis3003        Pavardenis3003      6       4       6       4       3       7       3       4       7       6       8       
Vardenis3004        Pavardenis3004      2       8       6       7       10      8       7       6       1       2       10      
Vardenis3005        Pavardenis3005      9       1       2       1       3       4       3       7       5       6       1       
Vardenis3006        Pavardenis3006      8       7       2       5       7       1       10      7       4       6       3       
Vardenis3007        Pavardenis3007      5       1       2       10      3       6       3       6       5       7       6       
Vardenis3008        Pavardenis3008      6       7       4       10      2       10      10      2       9       1       2       
Vardenis3009        Pavardenis3009      4       9       8       9       3       5       3       3       6       9       7       
Vardenis3010        Pavardenis3010      5       10      9       7       10      6       9       2       2       10      1       
Vardenis3011        Pavardenis3011      2       1       9       5       5       4       1       3       3       7       4       
Vardenis3012        Pavardenis3012      1       7       1       8       5       7       1       2       5       5       1       
Vardenis3013        Pavardenis3013      9       4       6       6       2       7       10      2       2       9       6       
Vardenis3014        Pavardenis3014      9       8       4       10      4       6       1       2       3       3       6       
Vardenis3015        Pavardenis3015      3       10      4       7       4       10      10      5       4       3       1       
Vardenis3016        Pavardenis3016      5       9       3       5       9       2       8       10      6       10      6       
Vardenis3017        Pavardenis3017      5       7       8       6       5       2       1       1       1       8       6       
Vardenis3018        Pavardenis3018      9       9       7       6       5       4       3       3       1       6       10      
Vardenis3019        Pavardenis3019      8       1       1       3       1       4       2       2       3       6       3       
Vardenis3020        Pavardenis3020      5       7       1       4       3       10      8       8       9       3       1       
Vardenis3021        Pavardenis3021      3       1       9       9       7       2       5       8       10      10      10      
Vardenis3022        Pavardenis3022      7       2       3       10      3       9       6       8       4       2       2       
Vardenis3023        Pavardenis3023      10      2       5       1       4       2       8       5       6       4       3       
Vardenis3024        Pavardenis3024      6       8       2       7       6       9       5       6       5       8       6       
Vardenis3025        Pavardenis3025      8       2       10      6       2       2       6       7       5       4       6       
Vardenis3026        Pavardenis3026      3       4       9       1       2       3       7       1       7       9       1       
Vardenis3027        Pavardenis3027      8       7       4       1       10      1       4       3       4       10      10      
Vardenis3028        Pavardenis3028      5       10      3       5       4       5       7       7       6       10      3       
Vardenis3029        Pavardenis3029      8       10      3       7       9       6       5       7       6       2       6       
Vardenis3030        Pavardenis3030      9       4       2       2       6       5       5       9       10      1       3       
Vardenis3031        Pavardenis3031      3       9       3       5       10      9       6       10      1       5       9       
Vardenis3032        Pavardenis3032      8       3       9       5       1       3       2       8       7       3       4       
Vardenis3033        Pavardenis3033      1       2       6       10      8       1       3       4       9       4       5       
Vardenis3034        Pavardenis3034      9       2       5       5       6       8       6       6       9       3       5       
Vardenis3035        Pavardenis3035      6       1       7       2       10      7       6       8       1       3       1       
Vardenis3036        Pavardenis3036      9       9       3       5       5       9       9       9       8       9       5       
Vardenis3037        Pavardenis3037      10      7       8       8       8       5       10      5       6       6       1       
Vardenis3038        Pavardenis3038      2       5       7       9       10      4       9       2       9       4       7       
Vardenis3039        Pavardenis3039      8       7       8       4       1       6       1       3       1       9       7       
Vardenis3040        Pavardenis3040      1       8       10      9       7       5       2       10      4       3       2       
Vardenis3041        Pavardenis3041      3       9       4       8       8       10      9       8       7       6       4       
Vardenis3042        Pavardenis3042      8       3       3       2       9       1       1       3       8       1       9       
Vardenis3043        Pavardenis3043      2       3       1       8       8       3       9       6       8       3       3       
Vardenis3044        Pavardenis3044      3       5       2       3       5       8       1       4       8       10      10      
Vardenis3045        Pavardenis3045      4       4       3       7       7       4       4       7       10      10      8       
Vardenis3046        Pavardenis3046      9       5       1       8       1       3       2       4       2       9       6       
Vardenis3047        Pavardenis3047      7       8       8       6       10      5       5       2       1       5       2       
Vardenis3048        Pavardenis3048      5       5       9       5       8       7       1       4       2       1       2       
Vardenis3049        Pavardenis3049      9       7       8       6       8       8       5       8       9       3       6       
Vardenis3050        Pavardenis3050      4       5       9       2       8       3       5       7       5       10      4       
Vardenis3051        Pavardenis3051      9       7       6       8       10      10      4       2       3       3       7       
Vardenis3052        Pavardenis3052      10      9       8       5       10      10      2       1       9       3       1       
Vardenis3053        Pavardenis3053      3       2       9       6       8       5       5       5       6       1       5       
Vardenis3054        Pavardenis3054      5       2       3       3       2       8       8       1       3       3       2       
Vardenis3055        Pavardenis3055      10      3       4       6       2       6       4       3       3       1       8       
Vardenis3056        Pavardenis3056      4       10      10      6       8       8       6       7       6       8       5       
Vardenis3057        Pavardenis3057      2       5       1       9       5       10      9       3       5       7       10      
Vardenis3058        Pavardenis3058      4       10      8       10      2       6       10      9       8       10      8       
Vardenis3059        Pavardenis3059      7       9       7       3       1       7       1       9       4       4       5       
Vardenis3060        Pavardenis3060      6       4       9       10      1       6       4       5       5       7       1       
Vardenis3061        Pavardenis3061      8       4       5       8       5       7       2       4       1       6       5       
Vardenis3062        Pavardenis3062      6       6       10      5       10      10      8       7       10      5       1       
Vardenis3063        Pavardenis3063      5       2       7       7       3       10      6       4       6       6       10      
Vardenis3064        Pavardenis3064      7       3       2       1       10      10      8       5       6       8       1       
Vardenis3065        Pavardenis3065      3       7       1       7       4       3       4       5       10      8       1       
Vardenis3066        Pavardenis3066      4       8       2       1       9       6       4       5       5       10      10      
Vardenis3067        Pavardenis3067      2       8       4       1       6       7       2       5       7       2       6       
Vardenis3068        Pavardenis3068      1       10      7       5       2       4       4       6       3       5       3       
Vardenis3069        Pavardenis3069      10      7       9       2       10      1       8       7       3       5       9       
Vardenis3070        Pavardenis3070      8       4       6       6       5       4       9       4       1       2       4       
Vardenis3071        Pavardenis3071      3       5       3       4       6       3       9       7       10      5       6       
Vardenis3072        Pavardenis3072      2       7       10      9       9       10      2       10      2       10      6       
Vardenis3073        Pavardenis3073      9       10      7       6       3       6       8       4       7       2       5       
Vardenis3074        Pavardenis3074      6       1       10      9       3       5       6       7       8       10      7       
Vardenis3075        Pavardenis3075      10      1       9       6       2       10      5       6       8       4       4       
Vardenis3076        Pavardenis3076      7       7       10      4       5       10      9       3       10      8       4       
Vardenis3077        Pavardenis3077      9       2       9       7       4       2       9       8       7       3       4       
Vardenis3078        Pavardenis3078      4       4       1       8       1       1       9       6       3       10      3       
Vardenis3079        Pavardenis3079      3       1       1       2       6       4       4       3       3       5       4       
Vardenis3080        Pavardenis3080      8       8       9       7       8       4       9       3       10      5       8       
Vardenis3081        Pavardenis3081      6       3       8       10      4       5       9       8       5       7       6       
Vardenis3082        Pavardenis3082      2       1       7       5       9       6       7       3       3       1       1       
Vardenis3083        Pavardenis3083      7       10      2       2       5       4       6       7       8       7       3       
Vardenis3084        Pavardenis3084      8       3       4       2       5       8       4       2       10      3       10      
Vardenis3085        Pavardenis3085      5       5       1       4       10      8       5       8       2       1       4       
Vardenis3086        Pavardenis3086      1       7       5       5       4       4       9       6       2       8       2       
Vardenis3087        Pavardenis3087      1       4       3       7       3       3       5       2       5       10      2       
Vardenis3088        Pavardenis3088      2       5       1       1       2       10      6       9       10      6       5       
Vardenis3089        Pavardenis3089      4       5       5       5       1       7       3       8       10      10      3       
Vardenis3090        Pavardenis3090      8       5       3       3       7       6       1       4       3       3       9       
Vardenis3091        Pavardenis3091      7       4       7       5       3       9       1       10      2       10      3       
Vardenis3092        Pavardenis3092      6       2       6       7       3       5       3       7       2       3       6       
Vardenis3093        Pavardenis3093      4       8       8       7       5       8       3       3       2       4       10      
Vardenis3094        Pavardenis3094      7       3       4       5       3       3       2       3       6       8       5       
Vardenis3095        Pavardenis3095      9       8       8       6       1       5       4       10      1       3       1       
Vardenis3096        Pavardenis3096      4       5       4       1       7       9       6       6       9       9       1       
Vardenis3097        Pavardenis3097      7       8       8       8       7       1       10      2       9       4       1       
Vardenis3098        Pavardenis3098      1       1       3       5       1       9       5       10      2       10      2       
Vardenis3099        Pavardenis3099      4       5       8       6       3       6       8       1       7       9       5       
Vardenis3100        Pavardenis3100      1       1       9       2       7       5       9       1       5       1       8       
Vardenis3101        Pavardenis3101      10      2       8       6       8       3       5       5       10      2       8       
Vardenis3102        Pavardenis3102      2       9       7       2       10      10      6       1       5       5       5       
Vardenis3103        Pavardenis3103      5       7       10      6       9       4       4       9       4       3       4       
Vardenis3104        Pavardenis3104      3       6       7       7       2       10      1       8       4       4       3       
Vardenis3105        Pavardenis3105      3       3       3       1       9       8       5       6       5       3       5       
Vardenis3106        Pavardenis3106      5       5       8       4       3       1       7       2       3       8       1       
Vardenis3107        Pavardenis3107      9       9       4       1       9       3       2       1       3       6       6       
Vardenis3108        Pavardenis3108      5       5       4       7       4       4       5       6       9       2       5       
Vardenis3109        Pavardenis3109      3       10      6       6       1       5       2       9       8       8       8       
Vardenis3110        Pavardenis3110      2       6       10      1       1       6       1       2       8       7       5       
Vardenis3111        Pavardenis3111      9       1       8       9       10      4       8       7       7       9       2       
Vardenis3112        Pavardenis3112      3       10      7       10      1       7       3       4       4       4       8       
Vardenis3113        Pavardenis3113      3       4       10      4       10      9       1       10      9       7       2       
Vardenis3114        Pavardenis3114      4       4       6       4       8       6       10      3       8       8       5       
Vardenis3115        Pavardenis3115      9       4       8       1       6       2       7       4       7       4       8       
Vardenis3116        Pavardenis3116      7       5       5       10      5       3       3       9       3       10      6       
Vardenis3117        Pavardenis3117      4       2       10      9       7       2       7       7       3       8       9       
Vardenis3118        Pavardenis3118      3       4       5       4       3       2       1       1       7       8       3       
Vardenis3119        Pavardenis3119      3       8       1       3       7       6       6       6       10      10      2       
Vardenis3120        Pavardenis3120      4       7       8       5       9       8       1       7       10      8       5       
Vardenis3121        Pavardenis3121      1       2       1       8       3       4       9       7       1       7       3       
Vardenis3122        Pavardenis3122      4       2       4       4       7       4       1       7       7       1       5       
Vardenis3123        Pavardenis3123      4       6       9       6       4       8       7       3       3       3       3       
Vardenis3124        Pavardenis3124      9       4       1       5       7       3       7       9       3       4       2       
Vardenis3125        Pavardenis3125      1       4       8       10      10      10      10      3       8       4       8       
Vardenis3126        Pavardenis3126      7       2       8       2       6       3       2       9       2       5       4       
Vardenis3127        Pavardenis3127      3       9       2       2       2       8       6       1       9       6       9       
Vardenis3128        Pavardenis3128      1       5       5       2       1       10      6       7       6       8       8       
Vardenis3129        Pavardenis3129      1       9       7       7       3       6       2       10      3       1       7       
Vardenis3130        Pavardenis3130      3       6       1       5       2       8       10      7       4       6       4       
Vardenis3131        Pavardenis3131      3       4       2       6       6       10      1       7       2       10      3       
Vardenis3132        Pavardenis3132      7       4       9       7       1       3       10      7       6       8       6       
Vardenis3133        Pavardenis3133      3       6       1       8       10      2       8       5       8       5       4       
Vardenis3134        Pavardenis3134      4       8       9       5       3       7       9       3       3       8       8       
Vardenis3135        Pavardenis3135      6       4       1       1       8       4       7       10      7       1       7       
Vardenis3136        Pavardenis3136      5       9       5       8       1       9       2       1       6       9       10      
Vardenis3137        Pavardenis3137      6       5       3       9       10      6       6       4       7       8       8       
Vardenis3138        Pavardenis3138      6       9       5       7       3       3       4       9       8       6       8       
Vardenis3139        Pavardenis3139      2       7       5       4       1       10      10      4       6       6       10      
Vardenis3140        Pavardenis3140      3       7       2       9       5       4       3       4       4       1       9       
Vardenis3141        Pavardenis3141      3       1       2       2       9       8       9       7       10      5       1       
Vardenis3142        Pavardenis3142      8       9       6       7       6       3       5       2       2       8       5       
Vardenis3143        Pavardenis3143      3       8       6       7       2       7       1       1       5       5       6       
Vardenis3144        Pavardenis3144      5       1       7       9       2       2       3       10      10      6       5       
Vardenis3145        Pavardenis3145      5       7       4       10      1       10      4       10      6       9       3       
Vardenis3146        Pavardenis3146      9       10      2       9       1       6       1       9       7       4       2       
Vardenis3147        Pavardenis3147      5       1       10      10      4       3       8       8       2       3       5       
Vardenis3148        Pavardenis3148      1       3       8       6       9       1       5       5       2       10      8       
Vardenis3149        Pavardenis3149      5       10      10      9       5       8       6       10      5       6       2       
Vardenis3150        Pavardenis3150      4       2       1       10      3       7       10      4       5       7       2       
Vardenis3151        Pavardenis3151      5       7       1       4       4       1       3       10      9       2       5       
Vardenis3152        Pavardenis3152      3       8       8       8       1       3       9       9       2       7       5       
Vardenis3153        Pavardenis3153      8       9       2       2       4       1       1       6       6       4       8       
Vardenis3154        Pavardenis3154      4       8       4       10      2       7       9       10      6       8       1       
Vardenis3155        Pavardenis3155      10      8       3       10      5       6       2       10      9       1       7       
Vardenis3156        Pavardenis3156      4       3       9       5       1       6       4       2       5       3       3       
Vardenis3157        Pavardenis3157      7       3       10      7       8       8       1       6       10      7       8       
Vardenis3158        Pavardenis3158      6       8       3       9       5       2       6       10      6       3       1       
